lucode,nesting_cavity_availability_index,nesting_stem_availability_index,nesting_ground_availability_index,floral_resources_spring_index,floral_resources_summer_index,floral_resources_autumn_index,floral_resources_winter_index
0,0,0,0,0,0,0,0
2550,0,0,0,0,0,0,0
110,0.450852,0.452281,0.117792,0.000768,0.090401,0.508104,0.056283
111,0.399905,0.779295,0.499108,0.262304,0.315492,0.650765,0.432133
112,0.789195,0.784117,0.478162,0.376106,0.311807,0.406809,0.296421
113,0.019223,0.701370,0.286452,0.413151,0.104240,0.177194,0.117470
114,0.347627,0.116410,0.562151,0.196537,0.853574,0.097741,0.785029
115,0.152424,0.734245,0.128979,0.944633,0.080634,0.854843,0.070754
116,0.761961,0.609210,0.171595,0.539361,0.673622,0.707860,0.685184
117,0.644740,0.748672,0.939274,0.155859,0.586028,0.022259,0.101006
120,0.804950,0.313574,0.827802,0.173348,0.533938,0.005711,0.645088
121,0.016222,0.896403,0.134602,0.509255,0.679152,0.398572,0.643062
122,0.594841,0.360446,0.325213,0.008298,0.307059,0.170557,0.123310
124,0.953279,0.566751,0.837932,0.423387,0.074663,0.608751,0.921053
125,0.069792,0.935408,0.925172,0.248127,0.142272,0.646238,0.825259
130,0.548647,0.092633,0.755443,0.553207,0.985450,0.045091,0.880644
131,0.637619,0.827993,0.995167,0.357666,0.564756,0.543079,0.374389
132,0.218712,0.715461,0.118014,0.199261,0.588785,0.891262,0.913024
133,0.392090,0.788202,0.724036,0.225131,0.566830,0.395327,0.599010
134,0.739506,0.376127,0.908288,0.737455,0.599651,0.525110,0.178765
210,0.930723,0.867756,0.835203,0.142651,0.269231,0.093569,0.293563
220,0.855890,0.965502,0.807447,0.169492,0.108189,0.233740,0.773782
221,0.663750,0.681556,0.728609,0.872137,0.434534,0.522832,0.104462
222,0.567149,0.369039,0.499061,0.736562,0.136656,0.731939,0.292686
310,0.692933,0.703164,0.754504,0.510219,0.497898,0.516738,0.882115
311,0.407420,0.666469,0.779803,0.927981,0.150974,0.149420,0.610593
312,0.132649,0.136712,0.280715,0.451693,0.937728,0.340229,0.614650
313,0.683608,0.504789,0.151014,0.932212,0.551865,0.494396,0.082275
314,0.812205,0.027644,0.871622,0.378641,0.575891,0.553127,0.600885
320,0.635648,0.456338,0.071499,0.946099,0.509885,0.007171,0.737949
321,0.848062,0.716613,0.605916,0.476416,0.714713,0.743185,0.687479
322,0.728119,0.543216,0.300510,0.592886,0.112306,0.316644,0.069133
323,0.873320,0.901779,0.513654,0.435499,0.181967,0.794635,0.880850
324,0.703069,0.789490,0.601478,0.963446,0.590215,0.877780,0.259228
325,0.233720,0.264746,0.341504,0.647392,0.586623,0.600861,0.877725
330,0.193144,0.676334,0.264848,0.776274,0.402783,0.736690,0.815372
331,0.255452,0.427287,0.438252,0.823556,0.673200,0.377283,0.165310
332,0.496695,0.169244,0.942419,0.609210,0.608381,0.286514,0.854341
333,0.856329,0.080376,0.740937,0.926315,0.884290,0.082558,0.619244
334,0.814800,0.604290,0.655179,0.125718,0.612963,0.710344,0.268915
338,0.240036,0.827150,0.711882,0.270101,0.559763,0.412152,0.364428
340,0.326029,0.862600,0.777236,0.693274,0.512842,0.100344,0.624720
341,0.443881,0.729102,0.577481,0.617011,0.526349,0.385061,0.410747
342,0.269144,0.272182,0.173071,0.717786,0.285190,0.176586,0.514217
343,0.794448,0.079087,0.032541,0.069354,0.641014,0.637064,0.098640
344,0.938909,0.479631,0.543218,0.600869,0.418105,0.477115,0.919899
345,0.978482,0.012054,0.026539,0.360579,0.112495,0.441318,0.264462
346,0.285895,0.696537,0.260779,0.347445,0.063066,0.071804,0.381851
347,0.948007,0.722355,0.131527,0.913499,0.062946,0.293251,0.297576
348,0.468100,0.810991,0.199830,0.652694,0.706208,0.395429,0.273949
349,0.943305,0.348019,0.618953,0.632324,0.540797,0.720504,0.278917
350,0.198758,0.678499,0.798277,0.805998,0.773654,0.154068,0.275742
352,0.206020,0.726809,0.886797,0.412976,0.084579,0.291775,0.125895
353,0.829688,0.149828,0.227235,0.971661,0.061031,0.904465,0.494991
360,0.950475,0.774230,0.363759,0.612430,0.739214,0.412080,0.881476
361,0.818309,0.262041,0.183313,0.684521,0.011253,0.372692,0.888682
362,0.019179,0.265541,0.268061,0.981427,0.018001,0.995178,0.924388
363,0.968810,0.719472,0.026651,0.530596,0.970095,0.305964,0.474305
364,0.739812,0.351246,0.246395,0.805488,0.644146,0.454736,0.887536
365,0.921740,0.213396,0.381281,0.492369,0.526988,0.259687,0.704393
410,0.292508,0.030867,0.833320,0.881206,0.025093,0.330788,0.420285
411,0.727961,0.401640,0.595069,0.680182,0.315919,0.972359,0.581622
413,0.094736,0.180588,0.800569,0.005116,0.457483,0.088303,0.853921
414,0.677562,0.929937,0.777188,0.725784,0.859880,0.922915,0.089138
420,0.713314,0.379574,0.780760,0.351594,0.168337,0.362679,0.787535
421,0.251144,0.319393,0.489029,0.328950,0.452364,0.001340,0.042009
422,0.146634,0.523290,0.862776,0.208066,0.069461,0.687919,0.965885
423,0.620154,0.153229,0.477301,0.242635,0.113911,0.866972,0.514764
424,0.691045,0.445284,0.798170,0.868152,0.200424,0.314629,0.580656
430,0.307905,0.708410,0.800138,0.083176,0.105280,0.004407,0.557693
431,0.150293,0.825947,0.415013,0.580210,0.329608,0.898356,0.211709
433,0.878086,0.171885,0.898739,0.152035,0.123610,0.459991,0.908334
434,0.063265,0.394113,0.142797,0.634238,0.006809,0.102047,0.660667
438,0.380380,0.857361,0.913972,0.922690,0.735947,0.805634,0.823455
440,0.932645,0.333634,0.819753,0.765173,0.585007,0.964207,0.333406
441,0.003952,0.184086,0.147708,0.399975,0.650824,0.453147,0.067638
442,0.650942,0.097973,0.725734,0.298629,0.519058,0.543047,0.572340
443,0.073810,0.749229,0.843572,0.879433,0.603113,0.593655,0.606628
444,0.511471,0.332292,0.084451,0.511754,0.352242,0.719169,0.004081
445,0.923205,0.432170,0.908683,0.897086,0.035014,0.738144,0.186235
446,0.895510,0.665673,0.173840,0.043488,0.815348,0.916891,0.344718
447,0.738581,0.366655,0.733909,0.275681,0.268762,0.128414,0.684860
448,0.551506,0.345106,0.653500,0.298037,0.588906,0.649827,0.938865
449,0.310300,0.840978,0.294507,0.708376,0.359396,0.705333,0.593607
450,0.801480,0.556342,0.400140,0.172305,0.129537,0.815516,0.715466
451,0.237911,0.784307,0.836947,0.138984,0.849234,0.765392,0.060837
452,0.470164,0.398159,0.276324,0.170251,0.088433,0.303748,0.316942
453,0.776430,0.688725,0.873143,0.127287,0.694472,0.803877,0.171318
454,0.143537,0.891432,0.601169,0.175245,0.494101,0.698942,0.356929
460,0.845867,0.512180,0.655747,0.135866,0.770147,0.023271,0.103011
461,0.455856,0.321489,0.949400,0.024099,0.823309,0.083091,0.592197
462,0.802834,0.698197,0.593868,0.868120,0.856802,0.266408,0.116762
463,0.353597,0.977659,0.772044,0.736941,0.032687,0.009837,0.194893
464,0.677218,0.476507,0.821668,0.813911,0.363485,0.690327,0.178247
465,0.351549,0.625060,0.568379,0.491049,0.601528,0.145871,0.782961
510,0.092625,0.657902,0.989201,0.676959,0.932597,0.681662,0.950187
511,0.398942,0.769099,0.536919,0.998004,0.229904,0.480141,0.920087
512,0.974514,0.495953,0.938306,0.476987,0.191838,0.928731,0.027567
513,0.327104,0.737095,0.632072,0.464604,0.645472,0.509991,0.508424
514,0.999429,0.994842,0.317602,0.216353,0.509703,0.439136,0.602203
515,0.649665,0.719472,0.852139,0.634837,0.822381,0.141438,0.233103
520,0.808500,0.553153,0.166362,0.523635,0.258170,0.228585,0.584118
521,0.973309,0.736615,0.195270,0.197339,0.615937,0.987246,0.533825
522,0.792464,0.516289,0.214483,0.996309,0.013723,0.227527,0.731333
523,0.078392,0.645236,0.304716,0.450155,0.602100,0.714085,0.866529
524,0.351358,0.014854,0.646014,0.232197,0.216458,0.756433,0.256039
525,0.564102,0.506760,0.168260,0.061013,0.717385,0.730930,0.434685
526,0.256317,0.507198,0.410569,0.134733,0.587826,0.998368,0.897491
527,0.840464,0.632685,0.386472,0.756810,0.961021,0.884552,0.998610
528,0.732545,0.187172,0.207642,0.681205,0.704482,0.568666,0.983182
530,0.109025,0.251201,0.441276,0.525172,0.041581,0.755478,0.264173
531,0.343478,0.049954,0.968747,0.706714,0.873016,0.811957,0.393655
