half_sat,p_managed,fr_spring,fr_summer,fr_autumn,fr_winter,n_cavity,n_stem,n_ground,p_dep,p_abund,pdep_y_w,y_tot,y_wild
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.002638,0.147437,0.991574,0.001474
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.002638,0.147437,0.721954,0.048654
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.002638,0.147437,0.443908,0.097308
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.002638,0.147437,0.165862,0.145962
0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.01,0.003373,0.185562,0.991956,0.001856
0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.33,0.003373,0.185562,0.734535,0.061235
0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.66,0.003373,0.185562,0.469071,0.122471
0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.99,0.003373,0.185562,0.203606,0.183706
0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.01,0.004131,0.221253,0.992313,0.002213
0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.33,0.004131,0.221253,0.746313,0.073013
0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.66,0.004131,0.221253,0.492627,0.146027
0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.99,0.004131,0.221253,0.238940,0.219040
0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.01,0.004889,0.253780,0.992638,0.002538
0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.33,0.004889,0.253780,0.757047,0.083747
0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.66,0.004889,0.253780,0.514095,0.167495
0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.99,0.004889,0.253780,0.271142,0.251242
0.01,0.01,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.01,0.046114,0.824896,0.998349,0.008249
0.01,0.01,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.33,0.046114,0.824896,0.945516,0.272216
0.01,0.01,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.66,0.046114,0.824896,0.891031,0.544431
0.01,0.01,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.99,0.046114,0.824896,0.836547,0.816647
0.01,0.01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.01,0.063422,0.869252,0.998793,0.008693
0.01,0.01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.063422,0.869252,0.960153,0.286853
0.01,0.01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.66,0.063422,0.869252,0.920306,0.573706
0.01,0.01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.99,0.063422,0.869252,0.880459,0.860559
0.01,0.01,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.01,0.081269,0.896760,0.999068,0.008968
0.01,0.01,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.33,0.081269,0.896760,0.969231,0.295931
0.01,0.01,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.66,0.081269,0.896760,0.938461,0.591861
0.01,0.01,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.99,0.081269,0.896760,0.907692,0.887792
0.01,0.01,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.01,0.099117,0.915131,0.999251,0.009151
0.01,0.01,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.33,0.099117,0.915131,0.975293,0.301993
0.01,0.01,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.66,0.099117,0.915131,0.950587,0.603987
0.01,0.01,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.99,0.099117,0.915131,0.925880,0.905980
0.01,0.01,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.01,0.080888,0.896020,0.999060,0.008960
0.01,0.01,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.33,0.080888,0.896020,0.968987,0.295687
0.01,0.01,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.66,0.080888,0.896020,0.937973,0.591373
0.01,0.01,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.99,0.080888,0.896020,0.906960,0.887060
0.01,0.01,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.01,0.115306,0.928042,0.999380,0.009280
0.01,0.01,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.33,0.115306,0.928042,0.979554,0.306254
0.01,0.01,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.66,0.115306,0.928042,0.959108,0.612508
0.01,0.01,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.99,0.115306,0.928042,0.938662,0.918762
0.01,0.01,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.01,0.150800,0.946218,0.999562,0.009462
0.01,0.01,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.33,0.150800,0.946218,0.985552,0.312252
0.01,0.01,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.150800,0.946218,0.971104,0.624504
0.01,0.01,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.99,0.150800,0.946218,0.956656,0.936756
0.01,0.01,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.01,0.186293,0.957723,0.999677,0.009577
0.01,0.01,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.33,0.186293,0.957723,0.989349,0.316049
0.01,0.01,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.66,0.186293,0.957723,0.978697,0.632097
0.01,0.01,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.99,0.186293,0.957723,0.968046,0.948146
0.01,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.01,0.110776,0.924216,0.999342,0.009242
0.01,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.33,0.110776,0.924216,0.978291,0.304991
0.01,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.66,0.110776,0.924216,0.956582,0.609982
0.01,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.99,0.110776,0.924216,0.934873,0.914973
0.01,0.01,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.01,0.162381,0.950576,0.999606,0.009506
0.01,0.01,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.33,0.162381,0.950576,0.986990,0.313690
0.01,0.01,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.66,0.162381,0.950576,0.973980,0.627380
0.01,0.01,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.99,0.162381,0.950576,0.960970,0.941070
0.01,0.01,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.01,0.215598,0.964703,0.999747,0.009647
0.01,0.01,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.33,0.215598,0.964703,0.991652,0.318352
